name,address,city,state,phone,website,email,price_level,rating,signature_dish,unique_qualities,source
Aria Restaurant Sydney,"1 Macquarie St, Sydney NSW 2000, Australia",Sydney,NSW,(02) 9240 2255,https://www.ariasydney.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Aria_Restaurant_Sydney&utm_term=plcid_18420151015366914459,res.ariasydney@solotel.com.au,Very Expensive,4.5,,"Chef Matt Moran presents Modern Australian haute cuisine in an elegant, glass-walled dining room. | Fine Dining Restaurant | Rated 4.5/5 (2412 reviews) | Very expensive / luxury tier",Google Places API (New)
Infinity at Sydney Tower,"Westfield Sydney, Level 4/108 Market St, Sydney NSW 2000, Australia",Sydney,NSW,,https://infinitysydneytower.com.au/,reservations@infinitysydneytower.com.au,Expensive,4.5,,"Revolving restaurant in dark mahogany for cocktails, grills and sweeping views of the city skyline. | Restaurant | Rated 4.5/5 (3996 reviews) | Expensive / upscale tier",Google Places API (New)
Bennelong,"Sydney Opera House, Bennelong Point, Sydney NSW 2000, Australia",Sydney,NSW,(02) 9240 8000,http://www.bennelong.com.au/,reservations@bennelong.com.au,Very Expensive,4.5,,Innovative plates served in a renowned fine dining destination in an iconic setting. | Australian Restaurant | Rated 4.5/5 (2212 reviews) | Very expensive / luxury tier,Google Places API (New)
LuMi Dining,"56 Pirrama Rd, Pyrmont NSW 2009, Australia",Pyrmont,NSW,(02) 9571 1999,http://www.lumidining.com/,info@lumidining.com,Very Expensive,4.5,,"Inventive Italian food with a Japanese twist, in a glass-walled restaurant lit by pendant globes. | Fine Dining Restaurant | Rated 4.5/5 (1170 reviews) | Very expensive / luxury tier",Google Places API (New)
CATALINA Restaurant,"Lyne Park, 596F New South Head Rd, Rose Bay NSW 2029, Australia",Rose Bay,NSW,(02) 9371 0555,http://catalinarosebay.com.au/,RESERVATIONS@CATALINAROSEBAY.COM.AU,Very Expensive,4.7,,Polished waterfront restaurant known for its upmarket seafood dishes & open veranda bar. | Fine Dining Restaurant | Rated 4.7/5 (3922 reviews) | Very expensive / luxury tier,Google Places API (New)
Sixpenny,"83 Percival Rd, Stanmore NSW 2048, Australia",Stanmore,NSW,(02) 5839 3611,https://www.sixpenny.com.au/,info@sixpenny.com.au,Very Expensive,4.8,,"Clever Modern Australian tasting menus featuring homegrown produce, served in a cosy dining room. | Restaurant | Rated 4.8/5 (1039 reviews) | Very expensive / luxury tier",Google Places API (New)
NOUR,"3/490 Crown St, Surry Hills NSW 2010, Australia",Surry Hills,NSW,(02) 9331 3413,https://www.noursydney.com/?utm_content=NOUR+-+Surry+Hills&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_8876915928515631771,,Expensive,4.8,,"Reimagined Lebanese cuisine & signature cocktails served in a stylish, light-filled restaurant. | Middle Eastern Restaurant | Rated 4.8/5 (3353 reviews) | Expensive / upscale tier",Google Places API (New)
Bentley Restaurant + Bar,"27 O'Connell St, Sydney NSW 2000, Australia",Sydney,NSW,(02) 8214 0505,https://www.bentleyrestaurantgroup.com.au/bentley-restaurant-bar,info@thebentley.com.au,Very Expensive,4.4,,"Upscale Modern Australian cuisine, plus an acclaimed wine list, in an industrial-chic luxury hotel. | Australian Restaurant | Rated 4.4/5 (921 reviews) | Very expensive / luxury tier",Google Places API (New)
Altitude,"176 Cumberland St, The Rocks NSW 2000, Australia",The Rocks,NSW,(02) 9250 6000,https://sitecore-cd.shangri-la.com/-/media/Shangri-La/sydney_shangrila/dining/restaurants/altitude-restaurant/2026_Winterdinnermenu.pdf,,Very Expensive,4.4,,Australian Restaurant | Rated 4.4/5 (2726 reviews) | Very expensive / luxury tier,Google Places API (New)
Bopp & Tone,"60 Carrington St, Sydney NSW 2000, Australia",Sydney,NSW,(02) 9299 9997,http://www.boppandtone.com.au/,book@boppandtone.com.au,Expensive,4.6,,"Stylish restaurant/bar with vintage decor offering sharing menus, char-grilled fare & a terrace. | Restaurant | Rated 4.6/5 (1859 reviews) | Expensive / upscale tier",Google Places API (New)
